keys,en,ru
ABILITY,Ability,Способность
ABILITIES,Abilities,Способности
ABILITIES_MODE,Abilities mode,Режим способностей
ABILITY_SELECTION,Ability selection,Выбор способности
BULLET_SHOT,Vortex of Bullets,Вихрь пуль
FIRE_SHOT,Fiery Sneeze,Огненный чих
SOCIOFOBE,Sociofobe,Социофоб
FRIEND_OF_THE_FOREST,Friend of the forest,Друг леса
BUBBLEGUM,Bubblegum,Жвачка
FIRST_AID_KIT,First-aid kit,Аптечка
BLOODLUST,Bloodlust,Жажда крови
HOURGLASS,Hourglass,Песочные часы
ANTISAPPER,Antisapper,Антисапёр
EMERGENCY_SUPPORT,Emergency support,Экстренная поддержка
BULLET_SHOT_DESC,"Shoots bullets in all directions that bounce off enemies","Стреляет во все стороны пулями, отскакивающими от врагов"
FIRE_SHOT_DESC,Fires incendiary projectiles in all directions,Стреляет зажигательными снарядами во всех направлениях
SOCIOFOBE_DESC,Pushes away all pushable enemies,Отталкивает всех отталкиваемых врагов
FRIEND_OF_THE_FOREST_DESC,Grows trees around the player,Выращивает деревья вокруг игрока
BUBBLEGUM_DESC,Inflates an impassable and impenetrable bubble of gum,Надувает непроходимый и непробиваемый пузырь из жвачки
FIRST_AID_KIT_DESC,Heals the player by a percentage of maximum health,Лечит игрока на процент от максимального здоровья
BLOODLUST_DESC,Increases life steal (+100%) for a period of time,Увеличивает кражу жизни (+100%) на время
HOURGLASS_DESC,Stops time for a period of time,Останавливает время на время
ANTISAPPER_DESC,Throws landmines around,Разбрасывает вокруг мины
EMERGENCY_SUPPORT_DESC,Calls for cool guys with rocket launchers to help Brotato,Призывает крутых парней с ракетомётами на помощь Бротошке
ABILITY_DEFAULT_STAT_FORMATTED,{0}: {1},
ABILITY_PERCENT_STAT_FORMATTED,{0}: {1}%,
ABILITY_PIERCING_FORMATTED,{0}: {1} (-{2}% damage),{0}: {1} (-{2}% урона)
ABILITY_PIERCING_MUCH_FORMATTED,{0}: infinity,{0}: бесконечно
ABILITY_PIERCING_MUCH_AND_REDUCTION_FORMATTED,{0}: Infinity (-{2}% damage),{0}: Бесконечно (-{2}% урона)
HEAL_FORMATTED,Heal: {0}%,Лечение: {0}%
RELOADS,Reloading,Перезарядка
DURATION,Duration,Длительность
RANGED_KILLS,kill {0} enemies with ranged weapon,убить {0} врагов со стрелкового оружия
MELEE_KILLS,kill {0} enemies with melee weapon,убить {0} врагов с оружия ближнего боя
TIME,"{0} sec","{0} сек"
NOT_MOVING,hold still for {0} sec,не двигаться {0} сек
TAKE_DAMAGE,take damage {0} times,получить урон {0} раз
PICK_UP,pick up {0} consumables,подобрать {0} расходников
ANY_KILLS,kill {0} enemies,убить {0} врагов
ENEMIES_COUNT,stay alive for {0} sec when there are {1} enemies,продержаться в живых {0} сек когда врагов {1}
PROJECTILES,Projectile count,Кол-во снарядов
TREES_COUNT,Trees count,Кол-во деревьев
LANDMINES_COUNT,Landmines count,Кол-во мин
COOL_GUYS_COUNT,Cool guys,Крутых парней
STAT_HEAL,Heal,Лечение
ABILITIES_CONTROLS,Abilitious settings,Настройки Abilitious
LMB,LMB,ЛКМ
MMB,MMB,СКМ
RMB,RMB,ПКМ
EMB1,EMB1,ДКМ1
EMB2,EMB2,ДКМ2
WD,WD,КВН
WU,WU,КВВ
SYMBOLS,Symbols,Обозначения
INSTRUCTION,Instruction,Инструкция
NUMPAD_SYMBOLS,[N] - numpad button,[N] - кнопки нампада
LMB_SYMBOLS,LMB - left mouse button,ЛКМ - левая кнопка мыши
RMB_SYMBOLS,RMB - right mouse button,ПКМ - правая кнопка мыши
MMB_SYMBOLS,MMB - middle mouse button,СКМ - средняя кнопка мыши
EMBS_SYMBOLS,"EMB1, EMB2 - extra mouse buttons","ДКМ1, ДКМ2 - дополнительные кнопки мыши"
OTHER_MOUSE_SYMBOLS,[M] - other mouse buttons (if any),[M] - остальные кнопки мыши (если есть)
INSTRUCTION_TEXT,"Click on the cell and then choose the button you want to assign. You can assign some keys and mouse buttons","Нажми на ячейку, а затем выбери кнопку, которую хочешь назначить. Можно назначить некоторые клавиши и кнопки мыши"
APPEARANCE,Appearance,Внешний вид
DEFAULT,Default,По умолчанию
SEPARATE_COOLDOWN,Separate ability cooldown,Отдельньная перезарядка способности
TIER_INDICATOR,Tier indicator,Индиктатор класса
ABILITY_CHARGE_INDICATOR,Ability readiness indicator,Индикатор готовности способности
MENU_ABILITIES_CATALOG,Abilities catalog,Каталог способностей
ACHIEVEMENTS_DISABLED,Achievement unlocking is disabled,Разблокировка достижений отключена
ENEMY_HEALTH_DESC,Enemy health,Здоровье врагов
ENEMY_DAMAGE_DESC,Enemy damage,Урон врагов
LOTS_OF_ABILS,Lots of abilities!!!,Куча способностей!!!
FUN,Fun!!!,Веселье!!!
